id,centroid
521000,POINT (1817863.2287801933 5991027.793392896)
521111,POINT (1770066.6594024517 5883250.43961463)
521112,POINT (1766303.9693654522 5880493.65897979)
521116,POINT (1770885.3078783948 5878165.515569586)
521121,POINT (1762192.175724279 5881118.760919179)
521122,POINT (1763294.5950016244 5888823.589744101)
521132,POINT (1783336.644851136 5889899.233980671)
521134,POINT (1786963.7925441342 5884380.524482242)
521151,POINT (1744935.6408965124 5887264.340853938)
521152,POINT (1755728.7162319364 5881242.683364888)
521160,POINT (1776045.1739190118 5882091.892800669)
521201,POINT (1770629.9083321288 5894844.926453441)
521202,POINT (1768493.9742977172 5892844.158239593)
521203,POINT (1771461.2073259165 5891048.800986526)
521301,POINT (1776872.5859825476 5893500.312291513)
521302,POINT (1773274.4428085065 5888674.902132774)
521501,POINT (1772212.2237658007 5915535.06421542)
521502,POINT (1773148.3841124387 5914422.11924058)
521601,POINT (1770845.7390674613 5915045.708657859)
521602,POINT (1771679.408625401 5914437.711441519)
521801,POINT (1764583.8697227 5910329.7853956595)
521802,POINT (1764689.014978681 5909410.311374359)
521803,POINT (1765442.413599497 5910593.660696665)
521901,POINT (1763775.4804713014 5909420.664642887)
521902,POINT (1764078.9253874836 5907932.939547054)
522100,POINT (1764423.0551203196 5904970.284100643)
522201,POINT (1764768.1584827732 5906669.280092499)
522202,POINT (1765661.5111592014 5905982.743333112)
522301,POINT (1765735.6602548978 5907317.755694761)
522302,POINT (1766724.4967448013 5906423.8939894065)
522400,POINT (1765880.541127471 5905313.502424157)
522601,POINT (1770091.0479719024 5918061.674260632)
522603,POINT (1771474.327029673 5916280.650736948)
522604,POINT (1769886.8089234345 5916627.819020185)
522711,POINT (1769690.152706866 5915514.575394821)
522712,POINT (1770482.2135683694 5915642.5976289855)
522721,POINT (1768967.991463496 5914530.268852479)
522722,POINT (1770109.9138143917 5914009.490368924)
522723,POINT (1769179.5719531677 5913579.71170592)
522730,POINT (1768950.2768784282 5915744.904098651)
522810,POINT (1768174.4843207502 5914796.318303608)
522820,POINT (1767149.3975313567 5913923.331899981)
522910,POINT (1767326.4532930376 5912853.411576663)
522920,POINT (1766566.1045499241 5912517.43815252)
523000,POINT (1768203.5578905637 5912885.841058799)
523101,POINT (1770821.8043229592 5913413.25054539)
523102,POINT (1772309.5847532386 5912981.260486399)
523105,POINT (1769938.148680295 5912128.194505227)
523106,POINT (1770981.4587070956 5912277.478408591)
523107,POINT (1769025.3307186784 5911906.0280877035)
523109,POINT (1770577.2160371114 5910628.705668701)
523110,POINT (1771536.8325793014 5911488.822675476)
523112,POINT (1767602.1703536147 5910351.707660629)
523113,POINT (1769298.3511980963 5909876.996298527)
523114,POINT (1771479.4558275351 5909714.828878016)
523115,POINT (1770516.736127732 5908461.09724374)
523116,POINT (1772078.650623676 5908011.270889336)
523201,POINT (1773464.051965267 5913427.695706806)
523202,POINT (1777065.0677948918 5910347.967108796)
523300,POINT (1779804.0457437595 5915281.71845083)
523402,POINT (1766124.4146903493 5908585.071531806)
523403,POINT (1765370.2763284224 5908608.987761365)
523404,POINT (1764938.9640689122 5907793.066905533)
523501,POINT (1766993.3291606703 5908435.972648943)
523502,POINT (1767816.5213854646 5908371.780926259)
523601,POINT (1767126.2852652224 5906800.485793507)
523602,POINT (1767581.9724233134 5907224.9639323)
523711,POINT (1768641.1028112029 5907244.531582197)
523712,POINT (1769969.782561975 5905777.114170695)
523713,POINT (1771568.4022259016 5906284.012952886)
523721,POINT (1768494.1902789127 5905721.28774538)
523722,POINT (1768439.004615176 5905008.08308242)
523813,POINT (1775341.0389828703 5899555.685156805)
523814,POINT (1770252.9962079492 5902430.439146538)
523816,POINT (1770430.4468913532 5900979.570270485)
523817,POINT (1770448.2304318107 5900322.144117765)
523818,POINT (1772908.273711289 5904235.929335761)
523819,POINT (1771291.61380262 5902577.805270582)
523820,POINT (1769448.4376105007 5903807.2251240425)
523911,POINT (1771604.403481257 5899888.489322954)
523912,POINT (1772303.8814310858 5898279.214603394)
523920,POINT (1769900.7359323106 5898523.021065631)
524001,POINT (1757490.2257272226 5909456.667886353)
524002,POINT (1759130.246408289 5909386.963207335)
524111,POINT (1759977.42918642 5906673.3781559095)
524112,POINT (1760827.904440793 5906786.12793722)
524121,POINT (1759807.839313228 5908145.098967836)
524122,POINT (1759347.3049235712 5907441.76422401)
524200,POINT (1758518.6047740497 5904970.124829287)
524301,POINT (1763291.1948654081 5907235.625537324)
524302,POINT (1762650.6358407817 5906373.133987057)
524303,POINT (1763755.864987359 5905788.915412908)
524402,POINT (1762764.747363794 5909079.51144848)
524403,POINT (1760266.6018994695 5908502.703179054)
524404,POINT (1761072.487393984 5909240.34773433)
524405,POINT (1761225.3521496642 5908489.101005788)
524510,POINT (1761157.526280532 5907844.224151316)
524520,POINT (1761722.7291255193 5907241.039395379)
524530,POINT (1762369.9262199495 5908037.660159059)
524602,POINT (1767541.3260464198 5903064.577817445)
524603,POINT (1766430.2627761376 5904884.360710708)
524604,POINT (1764380.4145731379 5902966.258344951)
524711,POINT (1766167.9386761568 5901123.387022636)
524712,POINT (1766760.1213201496 5901357.45348168)
524713,POINT (1766524.005305502 5900319.859922863)
524720,POINT (1767373.7119407132 5901123.3565758)
524811,POINT (1765558.024690844 5898782.544978952)
524812,POINT (1766439.3547471478 5898983.251549072)
524821,POINT (1765454.006745995 5900797.547333271)
524822,POINT (1765596.8640648972 5899920.400498585)
