area_unit_id,area_unit_name,2 + bedrooms needed (severely crowded),1 bedroom needed (crowded),total_crowded,total_crowded_percent,No extra bedrooms required,1 bedroom spare,2 or more bedrooms spare,total_not_crowded,total_not_crowded_percent,total_stated,total_unknown,total_households,average_household_size
523116,Mission Heights,,,,, ..C , ..C , 12 , 15 ,100.0, 15 , ..C , 15 ,3.2
523201,Shelly Park,,9,6,0.9, 99 , 228 , 360 , 690 ,99.1, 696 , 15 , 711 ,2.9
523202,Turanga,,9,9,1.6, 87 , 141 , 333 , 561 ,98.4, 570 , 21 , 591 ,3.1
523300,Beachlands-Maraetai,9,39,48,2.7, 315 , 600 , 792 ," 1,707 ",97.3," 1,755 ", 54 ," 1,806 ",2.8
523402,Otara West,114,126,240,43.5, 168 , 84 , 60 , 312 ,56.5, 552 , 99 , 651 ,4.8
523403,Wymondley,36,51,87,43.3, 54 , 33 , 27 , 114 ,56.7, 201 , 30 , 228 ,5.0
523404,Grange,3,21,24,14.5, 42 , 60 , 42 , 141 ,85.5, 165 , 6 , 171 ,3.5
523501,Otara North,48,66,114,38.8, 81 , 57 , 39 , 180 ,61.2, 294 , 39 , 333 ,4.7
523502,Otara East,165,186,351,39.4, 300 , 150 , 90 , 543 ,60.9, 891 , 105 , 996 ,4.6
523601,Otara South,141,135,273,41.9, 210 , 108 , 57 , 378 ,58.1, 651 , 99 , 753 ,4.7
523602,Ferguson,174,177,351,48.8, 216 , 102 , 57 , 372 ,51.7, 720 , 126 , 846 ,5.1
523711,Rongomai,177,162,339,39.1, 252 , 189 , 87 , 525 ,60.6, 867 , 90 , 957 ,4.7
523712,Donegal Park,66,138,207,15.1, 381 , 453 , 327 ," 1,161 ",84.9," 1,368 ", 102 ," 1,470 ",3.6
523713,Ormiston,,9,9,3.7, 30 , 45 , 156 , 231 ,95.1, 243 , 12 , 255 ,3.4
523721,Clover Park,138,156,294,34.6, 264 , 177 , 114 , 555 ,65.4, 849 , 60 , 909 ,4.7
