name,url,address,lat,lng
Remuera Doctors Ltd.,/doctors/gp/remuera-doctors-ltd/,"320 Remuera Road, Remuera, Auckland",-36.8803576,174.7964725
Remuera Medical Centre,/doctors/gp/remuera-medical-centre/,"377 Remuera Road, Remuera, Auckland",-36.8807607,174.79802829999994
Remuera Village Medical Centre,/doctors/gp/remuera-village-medical-centre/,"597 Remuera Road, Remuera, Auckland",-36.8803551,174.81270829999994
Richmond Road Medical Centre,/doctors/gp/richmond-road-medical-centre/,"452 Richmond Road, Grey Lynn, Auckland",-36.8588647,174.7316243
Rosebank Road Medical Services Ltd.,/doctors/gp/rosebank-road-medical-services-ltd/,"65 Rosebank Road, Avondale, Auckland",-36.8943862,174.6968208
Royal Oak Medical Centre,/doctors/gp/royal-oak-medical-centre/,Royal Oak Mall,-36.9104783,174.77481910000006
Selwyn Medical Centre,/doctors/gp/selwyn-medical-centre/,"307 Kepa Road, Mission Bay, Auckland",-36.8604569,174.83679419999999
Selwyn Village Medical Centre,/doctors/gp/selwyn-village-medical-centre/,"21 Shaftesbury Avenue, Point Chevalier, Auckland",-36.8649266,174.69951979999996
Sore Throat Clinics - Auckland,/doctors/gp/sore-throat-clinics-auckland/,,,
St Heliers Health Centre,/doctors/gp/st-heliers-health-centre/,"9B Polygon Road, St Heliers, Auckland",-36.8518205,174.85735539999996
St Heliers Medical Centre,/doctors/gp/st-heliers-medical-centre/,"Pimlico Building, St Heliers",-36.8503737,174.85862959999997
St Lukes Medical Centre,/doctors/gp/st-lukes-medical-centre/,"99 St Lukes Road, Sandringham, Auckland",-36.8850218,174.7357037
Stoddard Road Medical Centre,/doctors/gp/stoddard-road-medical-centre/,"223 Stoddard Road, Mount Roskill, Auckland",-36.9000168,174.72104060000004
Stonefields Medical Centre,/doctors/gp/stonefields-medical-centre/,"40 Stonefields Avenue, Auckland",-36.8867854,174.84482830000002
Surrey Medical Centre,/doctors/gp/surrey-medical-centre/,"26 Surrey Crescent, Grey Lynn, Auckland",-36.8636713,174.7368339
Symonds Street Medical Centre,/doctors/gp/symonds-street-medical-centre/,"57 Symonds Street, Grafton, Auckland",-36.8565593,174.7650984
Tamaki Family Health Centre,/doctors/gp/tamaki-family-health-centre/,"2-4 Clifton Court, Panmure, Auckland",-36.8988482,174.85378939999998
The Calder Centre,/doctors/gp/the-calder-centre/,"136 Hobson Street, Auckland Central, Auckland",-36.8506858,174.76082840000004
The Fono - Central,/doctors/gp/the-fono-central/,"33 Wyndham Street, Auckland Central, Auckland",-36.8466811,174.7638419
The Fono - West Central,/doctors/gp/the-fono-west-central/,"297 Blockhouse Bay Road, Avondale, Auckland",-36.9082507,174.7014468
Three Kings Accident & Medical,/doctors/gp/three-kings-accident-medical/,"536 Mount Albert Road, Three Kings, Auckland",-36.9087734,174.7553448
Three Kings Family Medical Centre,/doctors/gp/three-kings-family-medical-centre/,"535 Mount Albert Road, Three Kings, Auckland",-36.90947669999999,174.75797680000005
Turuki Health Care - Panmure,/doctors/gp/turuki-health-care-panmure/,"62 Queens Road, Panmure",-36.8993291,174.85365490000004
Unitec Student Health,/doctors/gp/unitec-student-health/,"Unitec, Mt Albert",-36.87681052820344,174.70701456069946
University Health & Counselling Service,/doctors/gp/university-health-counselling-service/,,,
Viaduct Medical Centre,/doctors/gp/viaduct-medical-centre/,"125 Customs Street West, Auckland Central, Auckland",-36.8441398,174.7600248
Victoria Park Medical Suites,/doctors/gp/victoria-park-medical-suites/,"5 Vernon Street, Auckland Central, Auckland",-36.8488532,174.75583340000003
Well for Life,/doctors/gp/well-for-life/,"88 Jervois Road, Ponsonby, Auckland",-36.84560379999999,174.74079359999996
Westmere Medical Centre,/doctors/gp/westmere-medical-centre/,"146 Garnet Road, Westmere, Auckland",-36.8548664,174.7187932
White Cross Accident & Medical - Auckland,/doctors/gp/white-cross-accident-medical-auckland/,,,
Worldwise Travellers Health Centre Newmarket,/doctors/gp/worldwise-travellers-health-centre-newmarket/,"12C St Marks Road, Remuera, Auckland",-36.87466289999999,174.78045150000003
Bader Drive Healthcare,/doctors/gp/bader-drive-healthcare/,,,
Beachlands Medical Centre,/doctors/gp/beachlands-medical-centre/,Beachlands Medical Centre,-36.8820007,174.9967435
Botany Doctor,/doctors/gp/botany-doctor/,Botany Town Centre,-36.9355725,174.91468399999996
Botany Junction Medical Centre,/doctors/gp/botany-junction-medical-centre/,"110 Michael Jones Drive, Flat Bush, Auckland",-36.9650376,174.90342280000004
Botany Terrace Medical Centre,/doctors/gp/botany-terrace-medical-centre/,"301F Botany Road, Golflands, Auckland",-36.92526735769248,174.91270244121551
Botany Town Centre Medical Practice,/doctors/gp/botany-town-centre-medical-practice/,Botany Town Centre,-36.9355725,174.914684
Clendon Family Health Centre,/doctors/gp/clendon-family-health-centre/,"9 Robert Ross Place, Clendon Park, Auckland",-37.0313912,174.8676438
Clevedon Village Medical Centre,/doctors/gp/clevedon-village-medical-centre/,"27 Papakura-Clevedon Road, Clevedon",-36.9940928,175.03626540000005
Crawford Medical Centre,/doctors/gp/crawford-medical-centre/,Crawford Medical Centre,-36.8919603,174.92929049999998
DW Family Doctors,/doctors/gp/dw-family-doctors/,"177 Pakuranga Road, Pakuranga, Auckland",-36.91103830000001,174.87485449999997
East Care Accident & Medical,/doctors/gp/east-care-accident-medical/,East Care,-36.9223969,174.91370040000004
East Tamaki Healthcare (ETHC) - Dannemora,/doctors/gp/east-tamaki-healthcare-ethc-dannemora/,"1-3 Redcastle Drive, East Tamaki, Auckland",-36.9453299,174.9068517
East Tamaki Healthcare (ETHC) - Otahuhu,/doctors/gp/east-tamaki-healthcare-ethc-otahuhu/,"15-23 Station Road, Otahuhu, Auckland",-36.9426401,174.8404322
Eastern Family Doctors,/doctors/gp/eastern-family-doctors/,"17 Aviemore Drive, Highland Park, Auckland",-36.9008222,174.9046793
Eastside Family Doctor,/doctors/gp/eastside-family-doctor/,"98 Ti Rakau Drive, Pakuranga, Auckland",-36.9181432,174.87471040000003
Family Health Care Medical Centre,/doctors/gp/family-health-care-medical-centre/,"17 Aberfeldy Avenue, Highland Park, Auckland",-36.899940020828446,174.9087917804718
Gardens Medical Limited,/doctors/gp/gardens-medical-limited/,"179 Hill Road, Manurewa, Auckland",-37.0113254,174.91615419999994
Greenstone Family Clinic,/doctors/gp/greenstone-family-clinic/,"157 Great South Road, Manurewa, Auckland",-37.020321,174.895542
Health and Happiness (un) Ltd,/doctors/gp/health-and-happiness-un-ltd/,"488 Great South Road, Papatoetoe, Auckland",-36.977737,174.87159080000004
Highgate Surgery,/doctors/gp/highgate-surgery/,"139 Millhouse Drive, Golflands, Auckland",-36.919638,174.91521090000003
Highland Park Medical,/doctors/gp/highland-park-medical/,"14 Highland Park Drive, Highland Park, Auckland",-36.89987999999999,174.90785649999998
Howick Health and Medical Centre,/doctors/gp/howick-health-and-medical-centre/,"108 Ridge Road, Howick, Auckland",-36.8955894,174.92296520000002
Howick House Medical,/doctors/gp/howick-house-medical/,"43 Moore Street, Howick, Auckland",-36.895779,174.9311783
Howick Medical Practice,/doctors/gp/howick-medical-practice/,"128 Picton Street, Howick, Auckland",-36.8951546,174.93349520000004
Juliet Avenue Surgery,/doctors/gp/juliet-avenue-surgery/,"59 Juliet Avenue, Howick, Auckland",-36.8949973,174.9170706
Kawakawa Bay Orere Health Clinic Inc,/doctors/gp/kawakawa-bay-orere-health-clinic-inc/,"Kawakawa-Orere Road, Kawakawa Bay",-36.9506133,175.170131
M.P.S. Surgery Ltd,/doctors/gp/mps-surgery-ltd/,"44 Mason Avenue, Otahuhu, Auckland",-36.9448406,174.83969149999996
Maraetai Medical Centre,/doctors/gp/maraetai-medical-centre/,"10 Maraetai School Road, Maraetai, Auckland",-36.8807955,175.034398
Marina Medical,/doctors/gp/marina-medical/,Marina Medical & Specialists,-36.8896702,174.898886
Millhouse Integrative Medical Centre,/doctors/gp/millhouse-integrative-medical-centre/,"128 Millhouse Drive, Northpark, Auckland",-36.9192991,174.91774420000002
Orere Point Health Clinic,/doctors/gp/orere-point-health-clinic/,"Orere Point Road, Orere Point",-36.9591612,175.2434505
Otahuhu College Health & Wellness Centre,/doctors/gp/otahuhu-college-health-wellness-centre/,"74-78 Mangere Road, Otahuhu, Auckland",-36.9518343,174.83932470000002
Otahuhu Family Practice,/doctors/gp/otahuhu-family-practice/,"115 Church Street, Otahuhu, Auckland",-36.9444107,174.8467297
Otara Family and Christian Health Centre,/doctors/gp/otara-family-and-christian-health-centre/,"120 East Tamaki Road, Otara, Auckland",-36.9620625,174.8731993
Otara Union Health,/doctors/gp/otara-union-health/,"100 Alexander Crescent, Otara, Auckland",-36.9586605,174.87442409999994
Pakuranga Medical Centre,/doctors/gp/pakuranga-medical-centre-1/,"17 William Roberts Road, Pakuranga, Auckland",-36.9126158,174.87367840000002
Papakura Marae Health Clinic,/doctors/gp/papakura-marae-health-clinic/,"29 Hunua Road, Papakura",-37.07020840000001,174.95916680000005
Papatoetoe Family Doctors,/doctors/gp/papatoetoe-family-doctors/,"15 Kolmar Road, Papatoetoe, Auckland",-36.9790483,174.85468790000004
Papatoetoe South Medical Centre,/doctors/gp/papatoetoe-south-medical-centre/,"580 Great South Road, Papatoetoe, Auckland",-36.95175499999999,174.8456764
Picton Surgery,/doctors/gp/picton-surgery/,"2 Fencible Drive, Howick, Auckland",-36.895417,174.93136219999997
Puhinui Medical Centre,/doctors/gp/puhinui-medical-centre/,"149 Puhinui Road, Papatoetoe, Auckland",-36.9870803,174.86063509999997
Pukekohe Family Health Care,/doctors/gp/pukekohe-family-health-care/,,,
Queen Street Medical Centre,/doctors/gp/queen-street-medical-centre/,"31 Queen Street, Otahuhu, Auckland",-36.9462635,174.84423449999997
Rosehill Christian Medical Centre,/doctors/gp/rosehill-christian-medical-centre/,"2-4 Tairere Crescent, Rosehill, Papakura",-37.0798348,174.93692020000003
Sandhu Doctors Ltd,/doctors/gp/sandhu-doctors-ltd/,"488 Great South Road, Papatoetoe, Auckland",-36.977737,174.87159080000004
Selwyn House Medical Centre,/doctors/gp/selwyn-house-medical-centre/,"46 Wellington Street, Howick, Auckland",-36.8946147,174.92975449999994
Sommerville Surgery,/doctors/gp/sommerville-surgery/,Sommerville Surgery,-36.9126333,174.92935869999997
Sore Throat Clinics - Auckland,/doctors/gp/sore-throat-clinics-auckland/,,,
